horse_id,horse_name,birth_date,h_sex,raza,height_m,weight_kg,length_m,max_speed_kmh,h_temperament,h_category,h_career_races,h_days_since_last_race,h_linaje,listing_id,seller_id,l_listing_status,l_asking_price_usd,l_created_at,s_first_name,s_last_name,s_verified,s_disputes,s_num_listings,s_flagged_fraud,s_created_at,s_last_active_at,vet_total_exams,vet_major_issues,vet_avg_confidence,v_exam_date,completeness,vet_score,seller_score,horse_trust_score
H30,Employee,2020-11-03,M,Appaloosa,1.59,546.0,2.3,56.0,Activo / Resistente,Rutas y Western,13.0,92.0,No,L1,S32,withdrawn,1459841.0,2025-03-19 15:23:40.721063,Bryan,Hoffman,True,1.0,15.0,False,2024-07-15 01:35:26.330235,2025-03-16 05:37:08.762194,3.0,1.0,0.8166666666666668,,1.0,0.6666666666666667,0.97,0.8606666666666667
H31,Indicate,2008-06-02,F,Percherón,1.78,842.0,2.8,28.0,Muy calmado,Tiro pesado,13.0,8.0,Desconocido,L0,S66,active,1543858.0,2025-07-04 20:39:43.504291,Erin,Bryant,True,0.0,14.0,False,2022-02-19 13:25:58.344206,2022-04-23 05:57:31.458493,3.0,1.0,0.8733333333333334,,1.0,0.6666666666666667,1.0,0.8666666666666667
H32,Well,2006-02-26,F,Akhal-Teke,1.54,466.0,2.3,60.0,Independiente,Resistencia,18.0,291.0,No,L1,S145,sold,1475656.0,2025-04-28 18:00:40.404646,Alexis,Bell,True,2.0,20.0,False,2024-08-06 08:39:36.537466,2025-08-02 15:09:53.906775,1.0,0.0,0.84,,1.0,1.0,0.94,0.988
H33,Last,2018-10-19,F,Percherón,1.64,814.0,2.8,29.0,Muy calmado,Tiro pesado,21.0,383.0,No,L0,S58,active,1539032.0,2025-12-08 12:51:43.460888,Isaiah,Rodriguez,False,0.0,21.0,False,2023-01-04 20:51:04.793321,2025-04-05 16:44:34.786098,1.0,0.0,0.75,,1.0,1.0,0.6,0.92
H34,Physical,2006-02-24,F,Pura Raza Española,1.55,533.0,2.4,46.0,Noble / Dócil,Doma y Exhibición,10.0,36.0,Desconocido,L0,S133,active,1526746.0,2025-05-17 06:35:38.943465,William,Knight,True,0.0,13.0,False,2024-09-23 19:58:59.485409,2025-09-24 03:53:00.493429,2.0,1.0,0.8600000000000001,,1.0,0.5,1.0,0.8
H35,National,2022-12-27,M,Cuarto de Milla,,530.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,18.0,213.0,Sí,L0,S186,active,1441328.0,2025-09-03 20:29:30.194931,Morgan,Parks,False,0.0,6.0,False,2025-10-28 18:01:41.851343,2025-12-15 08:13:13.283146,2.0,0.0,0.8999999999999999,,0.9090909090909091,1.0,0.6,0.8836363636363637
H36,Cut,1998-10-22,M,Shetland (Poni),0.95,176.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,18.0,343.0,No,L0,S70,active,1502320.0,2025-10-08 11:21:07.205167,Lisa,Ray,True,1.0,3.0,False,2024-01-31 12:22:07.379987,2026-01-20 00:38:20.969565,3.0,0.0,0.8733333333333334,,1.0,1.0,0.97,0.994
H37,Power,2012-01-08,F,Appaloosa,1.44,541.0,2.3,57.0,Activo / Resistente,Rutas y Western,15.0,129.0,Sí,L1,S49,active,1527716.0,2025-11-14 07:34:11.722409,Kevin,Avila,True,0.0,20.0,False,2025-03-24 18:43:29.918245,2025-12-13 07:59:41.096818,2.0,1.0,0.895,,1.0,0.5,1.0,0.8
H38,Cut,2019-07-02,F,Árabe,1.43,446.0,2.2,,Inteligente / Leal,Endurance (Raid),13.0,11.0,No,L0,S173,active,1488674.0,2025-10-10 18:29:08.912636,Jacob,Williams,True,1.0,21.0,False,2024-02-10 02:16:45.799519,2025-07-13 00:53:07.806057,3.0,0.0,0.8733333333333334,,0.9090909090909091,1.0,0.97,0.9576363636363636
H39,Too,2007-06-04,M,Shetland (Poni),,158.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,21.0,185.0,Desconocido,L0,S5,active,1457157.0,2025-03-05 08:08:51.948227,Aaron,Hall,True,1.0,23.0,False,2026-01-26 23:08:03.260471,2026-01-27 16:34:38.713163,3.0,2.0,0.9333333333333332,,0.9090909090909091,0.33333333333333337,0.97,0.690969696969697
H40,Risk,2008-04-02,M,Hannoveriano,1.64,634.0,2.5,50.0,Equilibrado,Salto y Doma,14.0,367.0,Sí,L0,S177,active,1498497.0,2026-01-12 12:56:35.563617,Nathan,Strickland,False,0.0,18.0,False,2024-08-14 15:42:48.278314,2025-05-14 18:52:10.447520,1.0,0.0,0.79,,1.0,1.0,0.6,0.92
H41,Exactly,2013-02-23,F,Appaloosa,1.59,463.0,2.3,56.0,Activo / Resistente,Rutas y Western,12.0,142.0,Sí,L1,S173,active,1487965.0,2025-09-17 11:41:33.650478,Jacob,Williams,True,1.0,21.0,False,2024-02-10 02:16:45.799519,2025-07-13 00:53:07.806057,1.0,0.0,0.96,,1.0,1.0,0.97,0.994
H42,Happen,1997-12-18,F,Cuarto de Milla,1.46,,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,12.0,374.0,Sí,L0,S136,active,1495350.0,2025-10-24 21:45:50.376126,Kimberly,Davenport,False,0.0,1.0,False,2022-07-30 14:24:06.240389,2024-08-20 15:57:04.412365,1.0,0.0,0.84,,0.9090909090909091,1.0,0.6,0.8836363636363637
H43,School,2015-11-15,F,Akhal-Teke,1.59,474.0,2.3,60.0,Independiente,Resistencia,22.0,33.0,Sí,L0,S157,active,1546156.0,2025-04-22 03:20:11.507366,Christina,Harrison,True,0.0,20.0,False,2022-02-23 10:42:33.166511,2026-01-31 04:50:36.026518,1.0,0.0,0.84,,1.0,1.0,1.0,1.0
H44,Happy,2017-03-27,M,Frisón,,633.0,2.6,45.0,Manso / Dispuesto,Tiro y Cine,19.0,141.0,Sí,L0,S64,active,1558567.0,2025-10-05 19:29:01.038312,Anthony,Jackson,True,1.0,5.0,False,2024-11-20 21:55:48.527602,2025-03-08 12:32:50.406507,3.0,1.0,0.9133333333333334,,0.9090909090909091,0.6666666666666667,0.97,0.8243030303030303
H45,Pattern,2004-11-30,F,Percherón,1.71,828.0,2.8,25.0,Muy calmado,Tiro pesado,21.0,360.0,Desconocido,L1,S174,active,1566216.0,2025-07-22 03:17:21.401988,Jacob,Harris,True,0.0,10.0,True,2022-11-11 10:12:03.291575,2023-12-16 19:26:41.217735,2.0,0.0,0.9,,1.0,1.0,0.7,0.9400000000000001
H46,Mrs,2006-09-13,F,Appaloosa,1.52,468.0,2.3,58.0,Activo / Resistente,Rutas y Western,13.0,72.0,Sí,L0,S143,active,1560840.0,2025-09-28 17:10:41.831527,Bernard,Tran,False,0.0,7.0,False,2023-08-18 22:07:28.120196,2025-11-16 12:25:02.392340,2.0,1.0,0.88,,1.0,0.5,0.6,0.7200000000000001
H47,Activity,2014-11-25,F,Pura Raza Española,,515.0,2.4,50.0,Noble / Dócil,Doma y Exhibición,12.0,59.0,Sí,L0,S116,active,1485339.0,2025-03-03 10:24:52.626804,Cynthia,Martin,False,0.0,18.0,False,2022-03-10 09:45:38.250601,2025-09-22 14:53:02.492816,3.0,1.0,0.84,,0.9090909090909091,0.6666666666666667,0.6,0.7503030303030304
H48,Good,2015-01-17,M,Appaloosa,1.59,480.0,2.3,56.0,Activo / Resistente,Rutas y Western,14.0,97.0,Desconocido,L0,S0,withdrawn,1483718.0,2025-05-09 10:48:29.969804,Michael,Nguyen,False,0.0,18.0,True,2025-03-02 03:24:25.292906,2025-08-12 21:10:07.387216,2.0,1.0,0.965,,1.0,0.5,0.3,0.6600000000000001
H49,Be,1998-10-17,F,Pura Sangre Inglés,1.68,476.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,10.0,349.0,Desconocido,L0,S109,active,1481755.0,2025-06-25 09:32:18.874570,Danielle,Barnes,True,0.0,19.0,False,2022-04-12 16:18:55.592054,2023-08-29 10:32:38.893447,1.0,1.0,0.96,,1.0,0.0,1.0,0.6000000000000001
H50,Significant,2013-02-24,M,Hannoveriano,1.64,602.0,2.5,50.0,Equilibrado,Salto y Doma,23.0,247.0,Sí,L0,S164,withdrawn,1570197.0,2025-10-20 14:02:13.581185,Darrell,Ruiz,True,0.0,5.0,False,2024-08-07 08:09:02.299776,2024-12-18 13:25:57.526402,3.0,0.0,0.7466666666666667,,1.0,1.0,1.0,1.0
H51,Them,2013-12-04,M,Percherón,1.64,968.0,2.8,26.0,Muy calmado,Tiro pesado,15.0,211.0,Sí,L1,S172,sold,1514456.0,2025-11-24 22:49:07.795656,Anthony,Guzman,True,0.0,22.0,False,2024-03-02 19:44:19.350926,2024-12-14 19:19:35.910795,3.0,0.0,0.84,,1.0,1.0,1.0,1.0
H52,Fund,2000-11-28,F,Cuarto de Milla,1.53,551.0,2.3,,Tranquilo / Sociable,Rodeo y Trabajo,25.0,354.0,Desconocido,L0,S166,active,1572722.0,2025-11-19 08:26:19.426297,Ronald,Jones,True,0.0,5.0,False,2024-03-28 10:28:16.526220,2025-04-24 07:59:16.860983,2.0,0.0,0.865,,0.9090909090909091,1.0,1.0,0.9636363636363636
H53,Usually,2002-10-02,M,Appaloosa,1.42,483.0,2.3,56.0,Activo / Resistente,Rutas y Western,15.0,304.0,Desconocido,L0,S13,active,1579826.0,2025-04-05 07:32:42.397130,Heather,Brown,True,0.0,4.0,False,2023-04-24 13:41:55.846352,2025-02-28 04:17:33.601875,2.0,0.0,0.925,,1.0,1.0,1.0,1.0
H54,Million,2003-06-15,F,Akhal-Teke,1.53,470.0,2.3,60.0,Independiente,Resistencia,12.0,167.0,No,L0,S82,withdrawn,1463689.0,2025-09-11 15:12:07.623703,Andrea,Harper,True,1.0,23.0,False,2025-05-27 23:06:38.150117,2026-01-31 08:41:03.254755,2.0,0.0,0.8049999999999999,,1.0,1.0,0.97,0.994
H55,Rise,2001-05-29,M,Appaloosa,1.45,540.0,2.3,58.0,Activo / Resistente,Rutas y Western,16.0,7.0,No,L0,S110,sold,1522925.0,2025-04-11 03:26:09.465174,Jessica,Bradley,True,4.0,15.0,False,2023-02-15 01:12:24.620312,2025-12-24 05:48:57.758922,3.0,0.0,0.87,,1.0,1.0,0.8800000000000001,0.9760000000000001
H56,Writer,1996-02-09,F,Appaloosa,1.49,,2.3,57.0,Activo / Resistente,Rutas y Western,7.0,326.0,Sí,L0,S104,active,1532813.0,2026-02-15 06:15:26.112053,Donna,Chase,False,0.0,23.0,False,2024-07-24 18:07:16.712216,2025-07-04 04:10:42.903179,3.0,0.0,0.8033333333333333,,0.9090909090909091,1.0,0.6,0.8836363636363637
H57,Amount,2004-05-09,F,Cuarto de Milla,1.53,541.0,2.3,,Tranquilo / Sociable,Rodeo y Trabajo,21.0,213.0,No,L1,S70,sold,1533937.0,2025-03-30 14:34:02.192577,Lisa,Ray,True,1.0,3.0,False,2024-01-31 12:22:07.379987,2026-01-20 00:38:20.969565,2.0,1.0,0.925,,0.9090909090909091,0.5,0.97,0.7576363636363637
H58,Sometimes,2011-05-10,F,Appaloosa,1.53,498.0,2.3,60.0,Activo / Resistente,Rutas y Western,10.0,390.0,Desconocido,L0,S31,active,1462819.0,2025-04-19 11:45:37.493811,Andrea,Clark,True,1.0,20.0,False,2024-08-06 23:38:05.674103,2025-05-10 06:42:54.409559,1.0,0.0,0.98,,1.0,1.0,0.97,0.994
H59,Board,2001-02-21,F,Shetland (Poni),0.92,150.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,17.0,162.0,Sí,L2,S174,sold,1480657.0,2025-03-26 14:53:13.301744,Jacob,Harris,True,0.0,10.0,True,2022-11-11 10:12:03.291575,2023-12-16 19:26:41.217735,1.0,0.0,0.89,,1.0,1.0,0.7,0.9400000000000001
H60,Quickly,1997-03-18,F,Frisón,1.65,713.0,2.6,45.0,Manso / Dispuesto,Tiro y Cine,12.0,,No,L0,S132,sold,1550285.0,2025-10-01 22:05:13.777702,Jerry,Shepard,True,1.0,22.0,False,2025-08-06 21:30:59.763172,2025-11-21 01:07:15.955787,3.0,1.0,0.7833333333333333,,0.9090909090909091,0.6666666666666667,0.97,0.8243030303030303
H61,While,2006-05-14,F,Árabe,1.41,446.0,2.2,,Inteligente / Leal,Endurance (Raid),13.0,351.0,Sí,L0,S119,withdrawn,1475684.0,2025-12-02 05:39:25.493545,Steven,West,False,1.0,5.0,False,2022-04-17 22:37:38.142960,2026-01-14 19:03:02.240318,2.0,0.0,0.8300000000000001,,0.9090909090909091,1.0,0.5700000000000001,0.8776363636363637
H62,First,2018-12-28,M,Hannoveriano,1.62,630.0,2.5,50.0,Equilibrado,Salto y Doma,17.0,319.0,Desconocido,L2,S126,sold,1415171.0,2025-09-21 16:04:53.389693,Alexander,Davis,True,0.0,19.0,False,2025-12-13 23:21:08.744869,2025-12-26 18:39:26.161093,1.0,0.0,0.81,,1.0,1.0,1.0,1.0
H63,Hair,2014-07-10,M,Cuarto de Milla,1.54,549.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,9.0,260.0,Sí,L0,S92,active,1515472.0,2025-03-28 17:11:26.719789,Mark,Carlson,True,0.0,4.0,False,2025-11-10 21:53:50.478002,2025-11-13 09:31:44.589263,2.0,0.0,0.88,,1.0,1.0,1.0,1.0
H64,Artist,1998-04-14,M,Árabe,,378.0,2.2,56.0,Inteligente / Leal,Endurance (Raid),13.0,363.0,No,L1,S132,sold,1478586.0,2025-07-28 21:52:35.056580,Jerry,Shepard,True,1.0,22.0,False,2025-08-06 21:30:59.763172,2025-11-21 01:07:15.955787,3.0,0.0,0.92,,0.9090909090909091,1.0,0.97,0.9576363636363636
H65,Onto,2023-07-04,M,Pura Sangre Inglés,1.65,479.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,17.0,348.0,No,L0,S194,active,1452878.0,2025-10-19 18:15:34.982804,Lisa,Fowler,True,1.0,7.0,False,2025-08-07 02:15:57.329253,2025-11-17 12:09:52.214952,2.0,1.0,0.75,,1.0,0.5,0.97,0.794
H66,Enough,2006-04-13,F,Appaloosa,1.52,542.0,2.3,59.0,Activo / Resistente,Rutas y Western,15.0,225.0,Desconocido,L0,S11,sold,1467669.0,2025-09-03 14:02:27.038316,Alexis,Kirby,True,0.0,18.0,False,2023-05-21 21:50:38.232193,2023-09-30 04:53:37.864402,3.0,0.0,0.8733333333333334,,1.0,1.0,1.0,1.0
H67,Fine,2023-10-30,M,Appaloosa,1.55,510.0,2.3,58.0,Activo / Resistente,Rutas y Western,17.0,139.0,No,L0,S184,active,1453825.0,2025-09-20 23:23:14.490683,Leah,Shields,True,0.0,5.0,False,2023-11-16 23:50:03.414282,2024-04-06 04:02:03.494995,3.0,0.0,0.9033333333333332,,1.0,1.0,1.0,1.0
H68,Professor,2003-04-27,F,Akhal-Teke,1.56,437.0,2.3,60.0,Independiente,Resistencia,17.0,,Sí,L0,S57,sold,1522220.0,2025-10-15 17:16:40.331716,Stephanie,Randolph,True,0.0,16.0,False,2025-03-09 22:53:15.881846,2025-08-17 12:42:42.624361,3.0,2.0,0.92,,0.9090909090909091,0.33333333333333337,1.0,0.696969696969697
H69,Run,2009-09-24,F,Akhal-Teke,1.53,454.0,2.3,60.0,Independiente,Resistencia,22.0,48.0,Sí,L0,S12,active,1460077.0,2025-06-07 08:39:17.121502,Sherry,Foley,True,0.0,15.0,False,2025-08-22 23:19:47.942760,2026-01-05 09:16:49.682968,3.0,1.0,0.81,,1.0,0.6666666666666667,1.0,0.8666666666666667
H70,Happen,2006-11-11,M,Hannoveriano,1.67,604.0,2.5,50.0,Equilibrado,Salto y Doma,13.0,219.0,No,L1,S71,active,1424937.0,2025-08-01 18:34:56.767048,Andrea,Crawford,True,0.0,25.0,False,2024-10-03 06:50:56.070942,2025-07-04 07:52:16.672859,2.0,0.0,0.86,,1.0,1.0,1.0,1.0
