horse_id,birth_date,h_sex,raza,height_m,weight_kg,length_m,max_speed_kmh,h_temperament,h_category,h_career_races,h_career_top3_rate,h_days_since_last_race,h_linaje,h_birth_country,h_current_country,listing_id,seller_id,l_listing_status,l_asking_price_usd,l_price_vs_market_ratio,l_anomaly_score,l_verified_listing,l_created_at,s_first_name,s_last_name,s_verified,s_disputes,s_success_rate,s_num_listings,s_flagged_fraud,s_created_at,s_last_active_at,vet_total_exams,vet_major_issues,vet_avg_confidence
H18,1996-07-10,M,Árabe,1.48,415.0,2.2,56.0,Inteligente / Leal,Endurance (Raid),18,0.17,109.0,No,,Turquía,L325,S73,withdrawn,1467757,1.16,0.57,False,2025-04-17 05:56:16.105592,Craig,Fields,True,0,0.79,22,False,2024-10-08 19:23:55.415276,2025-01-06 21:30:26.449671,1,0,0.97
H19,2012-09-15,F,Pura Sangre Inglés,1.65,485.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,9,0.18,51.0,Sí,Chile,Turquía,L825,S169,sold,1488309,1.02,0.34,True,2026-01-29 20:09:05.001854,Rita,Reeves,False,1,0.64,18,False,2023-01-27 20:24:57.814619,2025-09-03 02:22:47.301637,3,1,0.73
H20,2023-05-27,F,Appaloosa,1.56,459.0,2.3,56.0,Activo / Resistente,Rutas y Western,17,0.68,335.0,Sí,Qatar,Australia,L478,S102,active,1527672,1.48,0.62,True,2025-02-12 01:44:40.699096,Diamond,Phelps,True,0,0.83,4,False,2024-09-18 02:21:13.051128,2025-06-16 12:45:20.662328,1,0,0.91
H21,2019-11-08,M,Pura Raza Española,1.58,508.0,2.4,48.0,Noble / Dócil,Doma y Exhibición,9,0.4,35.0,Desconocido,Australia,Portugal,L945,S194,active,1547294,1.23,0.77,True,2025-10-22 14:40:32.081392,Kyle,Costa,True,1,0.93,17,False,2022-11-10 01:31:45.531029,2023-08-18 02:09:43.795376,2,0,0.865
H22,2015-10-07,F,Akhal-Teke,1.59,434.0,2.3,60.0,Independiente,Resistencia,15,0.31,272.0,Desconocido,Italia,Perú,L669,S140,active,1475401,1.26,0.27,True,2025-11-21 00:13:01.587303,Harold,Harris,False,0,0.61,18,False,2023-12-09 23:05:01.739233,2024-11-16 03:47:23.436144,3,0,0.8466666666666667
H23,2000-11-14,F,Hannoveriano,1.61,619.0,2.5,50.0,Equilibrado,Salto y Doma,14,0.47,,No,Reino Unido,Portugal,L29,S9,active,1446979,0.6,0.15,True,2025-11-06 13:21:48.197071,Angela,Duncan,True,0,0.94,13,False,2023-05-04 06:45:09.714596,2024-05-16 01:34:48.999921,3,1,0.7999999999999999
H24,2019-12-13,F,Árabe,1.48,422.0,2.2,55.0,Inteligente / Leal,Endurance (Raid),16,0.6,21.0,Sí,,EEUU,L558,S116,withdrawn,1509456,0.72,0.37,True,2025-04-20 15:56:12.264711,Michael,Miller,False,0,0.86,25,False,2023-12-24 15:16:40.029190,2024-05-05 15:30:46.073660,1,0,0.87
H25,2008-05-29,M,Shetland (Poni),0.9,190.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,6,0.43,335.0,Desconocido,Turquía,Arabia Saudita,L96,S22,withdrawn,1525344,1.06,0.65,True,2026-01-23 15:01:21.232457,Nicole,Gonzalez,True,0,0.69,19,False,2024-07-07 03:46:52.008073,2025-07-05 21:47:14.623699,1,0,0.76
H26,2018-11-21,M,Frisón,1.67,640.0,2.6,43.0,Manso / Dispuesto,Tiro y Cine,16,0.35,244.0,Sí,Portugal,Colombia,L360,S80,sold,1488208,1.69,0.71,True,2025-02-20 06:56:58.360743,Kimberly,Flynn,True,0,0.75,1,False,2025-01-20 03:10:09.351553,2025-02-14 10:48:17.898069,1,1,0.82
H27,2022-03-31,F,Pura Raza Española,1.6,508.0,2.4,47.0,Noble / Dócil,Doma y Exhibición,20,0.41,61.0,Sí,Qatar,,L285,S64,active,1563636,1.6,0.38,True,2025-03-08 11:03:54.665570,James,Sellers,True,1,0.69,20,True,2023-01-20 15:55:36.260327,2023-02-13 06:52:05.204687,3,1,0.8966666666666666
H28,2021-02-09,M,Akhal-Teke,1.51,438.0,2.3,60.0,Independiente,Resistencia,10,0.67,322.0,No,Reino Unido,Colombia,L368,S82,withdrawn,1570467,0.97,0.59,True,2025-09-26 11:33:38.227604,Jennifer,Lee,True,0,0.8,5,False,2025-02-27 14:37:37.753397,2025-08-25 01:09:02.392944,1,0,0.77
H29,2001-05-12,M,Shetland (Poni),0.9,,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,17,0.38,164.0,No,Italia,Chile,L132,S29,active,1548709,0.87,0.28,True,2025-07-26 11:39:41.293263,Joseph,Rodriguez,True,0,0.7,6,False,2024-06-02 14:35:44.044847,2025-03-07 00:55:02.059283,3,0,0.8866666666666667
H30,1995-12-08,M,Appaloosa,1.44,495.0,2.3,55.0,Activo / Resistente,Rutas y Western,16,0.13,260.0,No,Turquía,México,L965,S197,sold,1521713,1.09,0.16,True,2025-07-19 16:16:37.842295,Sherry,Potter,True,0,0.8,1,False,2023-01-10 15:14:36.137320,2026-02-09 07:09:07.987271,2,0,0.895
H31,2018-06-08,M,Appaloosa,1.49,483.0,2.3,60.0,Activo / Resistente,Rutas y Western,17,0.32,213.0,Sí,Chile,Francia,L483,S103,active,1546844,1.2,0.76,True,2025-06-03 13:44:33.996594,Robert,Rogers,True,0,0.71,14,False,2022-04-22 09:47:25.075443,2023-10-01 01:51:41.734438,3,0,0.8633333333333333
H32,2003-11-09,F,Shetland (Poni),0.92,154.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,14,0.33,237.0,No,Perú,España,L633,S131,active,1489531,0.72,0.39,True,2025-05-24 11:08:05.942822,Lauren,Smith,True,0,0.74,14,False,2025-07-23 18:49:10.121254,2025-09-16 16:23:48.765294,2,0,0.825
H33,1995-04-01,F,Árabe,1.48,393.0,2.2,59.0,Inteligente / Leal,Endurance (Raid),21,,393.0,Sí,Australia,Chile,L0,S0,active,1509900,0.71,0.73,True,2025-06-07 20:47:12.222440,Donald,Jensen,True,0,0.61,9,False,2025-05-13 06:40:40.931354,2026-01-18 02:03:49.155308,1,0,0.87
H34,2003-01-05,M,Appaloosa,1.43,492.0,2.3,58.0,Activo / Resistente,Rutas y Western,8,0.41,83.0,No,Australia,Portugal,L817,S168,active,1428522,1.53,0.79,True,2026-02-06 15:26:27.523044,Samantha,Brown,True,0,0.71,8,False,2025-07-15 09:05:07.219568,2025-08-12 00:29:48.354565,1,0,0.82
H35,2000-01-17,M,Pura Raza Española,1.54,539.0,2.4,,Noble / Dócil,Doma y Exhibición,17,0.61,310.0,Sí,Australia,Turquía,L660,S138,active,1437874,1.38,0.5,True,2025-05-07 23:16:45.530835,Teresa,Perry,True,2,0.67,11,False,2025-03-11 18:29:27.517231,2025-09-01 00:23:53.134316,1,0,0.95
H36,1995-02-23,M,Shetland (Poni),0.85,193.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,13,0.17,220.0,No,Alemania,Turquía,L570,S118,active,1521673,0.92,0.67,True,2025-05-03 03:13:06.874726,Jacqueline,Martinez,False,0,0.69,4,False,2022-12-19 10:57:09.225471,2024-01-31 07:40:17.269679,2,1,0.825
H37,2012-08-05,M,Akhal-Teke,1.57,457.0,2.3,60.0,Independiente,Resistencia,12,0.39,275.0,No,Chile,,L493,S105,active,1459121,0.87,0.49,True,2025-12-17 07:33:06.592220,Jessica,Smith,True,0,0.84,6,False,2022-12-27 19:13:59.197795,2023-05-14 07:50:27.091787,3,0,0.79
H38,2002-05-23,M,Hannoveriano,1.62,628.0,2.5,50.0,Equilibrado,Salto y Doma,17,0.29,84.0,No,EEUU,Brasil,L48,S13,active,1527609,1.53,0.3,True,2025-09-02 05:47:33.168478,Arthur,Gonzales,True,0,0.89,6,False,2023-05-24 11:34:57.917895,2023-07-05 14:41:07.244353,1,1,0.72
H39,2007-02-19,M,Appaloosa,1.54,516.0,2.3,56.0,Activo / Resistente,Rutas y Western,20,,346.0,No,Chile,Colombia,L223,S48,active,1527253,1.65,0.11,True,2025-03-06 07:07:24.717556,Tamara,Dean,False,0,0.63,14,False,2025-10-27 09:08:18.354663,2025-11-10 02:47:33.267113,3,1,0.8766666666666666
H40,2003-02-08,F,Árabe,1.45,436.0,2.2,60.0,Inteligente / Leal,Endurance (Raid),19,0.51,361.0,Sí,Turquía,EEUU,L637,S132,sold,1470684,1.03,0.23,True,2025-11-20 01:16:44.131780,Scott,Christensen,True,2,0.88,8,False,2025-11-17 16:48:23.872427,2026-01-10 09:57:09.840248,3,1,0.85
H41,2016-05-27,F,Hannoveriano,1.62,619.0,2.5,50.0,Equilibrado,Salto y Doma,11,0.56,367.0,Sí,Turquía,Colombia,L424,S92,active,1438962,1.13,0.69,True,2025-09-11 15:52:37.622069,Colton,Burke,True,0,0.9,8,True,2022-02-22 02:52:41.075295,2023-10-12 08:32:38.832892,2,0,0.9199999999999999
H42,2017-02-06,F,Percherón,1.66,946.0,2.8,30.0,Muy calmado,Tiro pesado,14,0.43,209.0,Desconocido,Portugal,México,L764,S159,sold,1439178,1.79,0.0,True,2025-08-18 19:10:29.779059,Micheal,Smith,True,0,0.81,13,False,2024-03-28 14:31:55.432667,2025-12-02 17:59:18.809181,3,0,0.8666666666666667
H43,1995-07-27,M,Pura Sangre Inglés,1.63,478.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,18,0.49,389.0,No,EEUU,Perú,L939,S193,active,1442874,0.7,0.19,True,2025-03-07 05:30:47.480172,Erin,Stanley,True,0,0.75,15,False,2022-11-28 13:01:59.778472,2024-09-27 06:16:01.199240,3,1,0.8366666666666666
H44,2015-01-14,M,Appaloosa,1.52,,2.3,56.0,Activo / Resistente,Rutas y Western,22,0.25,349.0,Desconocido,Arabia Saudita,Arabia Saudita,L610,S127,withdrawn,1502699,1.13,0.5,True,2025-03-08 23:26:13.899194,James,Rodriguez,True,0,0.62,14,False,2023-06-20 20:29:08.543099,2025-04-13 15:35:40.210235,2,0,0.87
H45,2012-12-22,F,Pura Sangre Inglés,1.67,456.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,14,0.51,77.0,Sí,Reino Unido,Brasil,L770,S160,active,1517182,1.34,0.53,True,2026-01-05 23:00:09.533163,Alyssa,Donaldson,True,0,0.71,16,False,2024-03-05 09:41:49.769327,2024-09-07 15:33:14.460893,1,1,0.77
H46,2018-12-14,M,Percherón,1.75,873.0,2.8,27.0,Muy calmado,Tiro pesado,18,0.27,37.0,Desconocido,Italia,Arabia Saudita,L539,S113,active,1490763,0.65,0.59,True,2025-07-29 08:19:24.440803,Tyrone,Long,True,0,0.81,25,False,2025-03-24 02:15:25.507653,2025-06-25 14:31:23.714282,2,0,0.805
H47,2012-10-29,M,Appaloosa,1.58,472.0,2.3,58.0,Activo / Resistente,Rutas y Western,21,0.63,97.0,Desconocido,Francia,,L946,S194,sold,1519271,0.95,0.62,False,2025-03-07 10:40:44.519969,Kyle,Costa,True,1,0.93,17,False,2022-11-10 01:31:45.531029,2023-08-18 02:09:43.795376,1,1,0.86
H48,2010-03-18,F,Percherón,1.78,802.0,2.8,27.0,Muy calmado,Tiro pesado,19,0.44,61.0,Desconocido,Colombia,México,L49,S13,sold,1397665,1.32,0.8,True,2025-09-14 17:33:07.739476,Arthur,Gonzales,True,0,0.89,6,False,2023-05-24 11:34:57.917895,2023-07-05 14:41:07.244353,2,2,0.875
H49,1995-05-16,F,Percherón,1.78,834.0,2.8,29.0,Muy calmado,Tiro pesado,21,0.38,,Desconocido,Colombia,Reino Unido,L236,S52,withdrawn,1585655,0.73,0.23,True,2025-11-17 20:37:38.192264,David,Jackson,True,0,0.75,9,False,2022-07-14 23:45:54.225735,2022-08-26 16:31:25.719589,1,1,0.79
H50,2010-06-05,M,Percherón,1.6,886.0,2.8,27.0,Muy calmado,Tiro pesado,9,0.44,394.0,Sí,,Brasil,L301,S68,active,1523994,1.47,0.64,True,2025-07-01 03:20:35.299039,Justin,Wright,True,1,0.86,3,True,2022-09-23 17:14:23.639339,2023-05-09 20:43:14.586988,1,0,0.95
H51,2008-06-08,F,Appaloosa,1.53,473.0,2.3,56.0,Activo / Resistente,Rutas y Western,23,0.39,134.0,Sí,Chile,Arabia Saudita,L670,S140,withdrawn,1513000,1.42,0.2,True,2025-09-13 16:37:28.968727,Harold,Harris,False,0,0.61,18,False,2023-12-09 23:05:01.739233,2024-11-16 03:47:23.436144,2,1,0.86
H52,2001-07-26,F,Percherón,1.72,946.0,2.8,,Muy calmado,Tiro pesado,16,0.26,191.0,No,Francia,España,L152,S33,withdrawn,1479716,0.9,0.28,True,2026-01-30 20:26:55.468971,Anne,Bowen,True,0,0.66,25,False,2025-09-28 21:31:59.938966,2026-02-05 10:40:49.429379,1,0,0.73
H53,2014-09-04,F,Percherón,1.74,980.0,2.8,27.0,Muy calmado,Tiro pesado,14,0.51,334.0,Desconocido,México,Argentina,L326,S73,sold,1481085,1.2,0.44,True,2025-05-18 20:48:54.133478,Craig,Fields,True,0,0.79,22,False,2024-10-08 19:23:55.415276,2025-01-06 21:30:26.449671,2,0,0.74
H54,2006-07-14,M,Shetland (Poni),0.89,179.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,13,0.55,317.0,Sí,Turquía,EEUU,L531,S112,active,1480614,1.25,0.52,True,2025-02-20 07:23:42.041598,Brittany,Barrett,True,1,0.67,1,True,2023-09-07 11:51:54.799461,2023-12-09 22:30:35.605831,3,0,0.8733333333333334
H55,2016-04-11,M,Hannoveriano,1.65,633.0,2.5,50.0,Equilibrado,Salto y Doma,19,0.52,,Desconocido,España,Francia,L876,S178,active,1466381,0.94,0.28,True,2025-06-18 06:04:02.239171,Kimberly,Baker,False,1,0.77,19,False,2022-12-05 11:41:23.859824,2025-11-04 01:27:00.512007,3,0,0.8166666666666668
H56,2021-01-03,M,Appaloosa,1.43,,2.3,58.0,Activo / Resistente,Rutas y Western,15,0.17,112.0,No,Turquía,Italia,L597,S124,active,1526428,1.74,0.42,True,2025-08-25 17:24:14.873700,Deborah,Gonzalez,True,0,0.68,15,False,2023-12-04 02:39:30.369367,2025-07-29 16:46:00.912284,3,1,0.8966666666666666
H57,2004-08-03,M,Appaloosa,1.49,515.0,2.3,58.0,Activo / Resistente,Rutas y Western,16,0.37,36.0,No,México,Alemania,L142,S31,active,1521642,1.6,0.06,True,2025-12-14 10:23:09.434837,Jessica,Silva,True,0,0.78,4,False,2024-08-31 02:07:58.247899,2025-12-24 22:46:56.612489,1,1,0.95
H58,2014-04-29,M,Frisón,1.67,748.0,2.6,40.0,Manso / Dispuesto,Tiro y Cine,21,0.13,183.0,No,Francia,Italia,L22,S7,sold,1531170,0.96,0.97,True,2025-09-28 10:30:37.146963,Cassie,Rosario,True,2,0.64,13,False,2024-04-27 15:16:34.086354,2024-10-15 00:50:37.823766,1,0,0.75
H59,2006-06-06,F,Percherón,1.64,834.0,2.8,30.0,Muy calmado,Tiro pesado,9,0.69,337.0,Desconocido,Argentina,Chile,L776,S161,active,1456877,1.78,0.31,True,2025-05-09 23:57:37.105488,Cory,Fernandez,True,0,0.72,20,False,2024-05-05 19:40:30.536712,2024-09-01 10:13:41.710173,2,0,0.92
H60,2006-06-22,F,Percherón,1.62,969.0,2.8,29.0,Muy calmado,Tiro pesado,18,,185.0,Sí,Chile,Australia,L743,S155,withdrawn,1532395,1.71,0.49,False,2025-07-24 16:59:55.376042,Michael,Gregory,True,0,0.86,21,False,2025-07-04 15:27:14.667475,2025-08-18 18:57:54.723197,2,1,0.8200000000000001
H61,2015-03-09,M,Árabe,1.48,,2.2,58.0,Inteligente / Leal,Endurance (Raid),9,0.5,285.0,No,Chile,Arabia Saudita,L276,S61,active,1542595,1.65,0.69,True,2025-05-07 18:35:41.206104,Gregory,Mckee,False,0,0.77,17,False,2024-01-07 06:53:19.797967,2025-09-14 03:19:45.397699,3,0,0.9033333333333333
H62,2010-01-22,M,Hannoveriano,1.63,646.0,2.5,50.0,Equilibrado,Salto y Doma,17,0.56,23.0,Desconocido,Brasil,Alemania,L889,S181,active,1501243,1.28,0.0,True,2025-10-11 13:12:15.419178,Rebecca,Bryant,True,1,0.88,8,False,2023-09-10 17:35:25.133955,2025-10-09 07:24:53.685706,1,1,0.96
H63,2002-12-06,M,Hannoveriano,1.66,628.0,2.5,50.0,Equilibrado,Salto y Doma,19,0.46,367.0,Desconocido,Arabia Saudita,Francia,L194,S40,sold,1484584,0.69,0.65,True,2025-04-30 10:40:07.229606,Donna,Estrada,True,1,0.84,23,False,2025-05-02 06:29:22.732399,2025-06-26 14:11:04.847397,1,0,0.9
H64,2006-04-08,M,Frisón,1.68,798.0,2.6,40.0,Manso / Dispuesto,Tiro y Cine,8,0.18,155.0,Sí,Colombia,Colombia,L352,S79,active,1488971,0.65,0.54,True,2025-06-09 04:55:44.139111,Shelly,Torres,False,1,0.94,6,False,2023-06-01 03:21:39.555382,2025-12-08 17:42:12.109932,3,0,0.85
H65,2002-11-12,M,Hannoveriano,1.7,633.0,2.5,50.0,Equilibrado,Salto y Doma,13,0.23,160.0,Sí,Reino Unido,Brasil,L672,S141,active,1530163,1.12,0.23,True,2025-12-27 08:19:12.977917,Hunter,Roberts,True,1,0.68,3,False,2023-02-07 12:40:44.586962,2025-10-15 17:27:19.373994,3,1,0.84
H66,2002-07-10,F,Appaloosa,1.59,535.0,2.3,58.0,Activo / Resistente,Rutas y Western,18,0.57,170.0,No,Brasil,Portugal,L8,S3,active,1555148,1.02,0.64,True,2025-03-15 12:39:26.583826,Jacqueline,Salas,True,0,0.81,18,False,2023-11-13 16:21:04.726663,2024-05-03 12:44:56.446740,3,1,0.8066666666666666
H67,2013-05-04,F,Akhal-Teke,1.52,434.0,2.3,60.0,Independiente,Resistencia,16,0.28,369.0,Sí,Qatar,Francia,L673,S141,active,1455269,0.92,0.55,True,2025-06-23 13:47:52.981034,Hunter,Roberts,True,1,0.68,3,False,2023-02-07 12:40:44.586962,2025-10-15 17:27:19.373994,3,1,0.8933333333333332
H68,1996-02-11,F,Appaloosa,1.51,467.0,2.3,58.0,Activo / Resistente,Rutas y Western,21,0.25,111.0,Sí,Italia,Qatar,L487,S104,active,1448929,0.77,0.75,True,2025-09-11 02:36:29.228123,Victoria,Rush,True,0,0.79,7,False,2024-01-02 17:19:38.437770,2024-08-15 14:37:02.990980,1,0,1.0
H69,2019-04-21,M,Pura Raza Española,1.51,524.0,2.4,50.0,Noble / Dócil,Doma y Exhibición,15,0.46,27.0,Desconocido,EEUU,EEUU,L99,S23,withdrawn,1497004,0.99,0.25,True,2025-10-16 14:04:27.860153,Luis,Fritz,True,0,0.73,5,False,2023-08-02 17:58:49.414284,2025-01-26 05:29:15.425867,1,0,0.86
H70,2010-02-23,F,Percherón,1.66,803.0,2.8,26.0,Muy calmado,Tiro pesado,15,0.66,386.0,Sí,Turquía,Arabia Saudita,L255,S57,sold,1480305,1.02,0.6,True,2025-02-26 21:07:52.595408,Steve,Jackson,False,0,0.74,15,False,2024-08-12 07:14:22.403693,2024-09-01 23:11:19.208100,2,0,0.89
H71,2001-03-02,M,Shetland (Poni),0.92,199.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,10,,245.0,No,Argentina,México,L133,S29,sold,1465262,1.38,0.36,True,2025-08-22 06:36:57.563254,Joseph,Rodriguez,True,0,0.7,6,False,2024-06-02 14:35:44.044847,2025-03-07 00:55:02.059283,2,0,0.895
H72,1996-11-05,F,Akhal-Teke,1.55,471.0,2.3,60.0,Independiente,Resistencia,17,0.69,247.0,No,Colombia,EEUU,L571,S118,active,1565646,1.43,0.81,True,2025-11-07 02:35:05.695462,Jacqueline,Martinez,False,0,0.69,4,False,2022-12-19 10:57:09.225471,2024-01-31 07:40:17.269679,1,0,0.8
H73,2022-01-20,M,Pura Raza Española,1.56,514.0,2.4,50.0,Noble / Dócil,Doma y Exhibición,13,0.19,140.0,No,Brasil,México,L140,S30,sold,1482710,0.89,0.69,True,2025-08-22 09:02:27.522718,Daniel,Johnson,True,0,0.91,9,False,2022-11-12 08:53:49.245090,2024-07-19 00:32:34.903250,2,0,0.885
H74,2010-11-08,M,Árabe,1.44,381.0,2.2,58.0,Inteligente / Leal,Endurance (Raid),20,0.43,357.0,Sí,Turquía,Turquía,L799,S165,sold,1519963,1.55,0.47,True,2025-02-21 05:01:35.971987,Benjamin,Martinez,False,1,0.68,23,False,2023-06-16 04:16:15.723657,2025-06-13 16:51:24.548562,3,0,0.93
H75,2013-03-10,F,Percherón,1.63,984.0,2.8,29.0,Muy calmado,Tiro pesado,25,0.39,284.0,Desconocido,Francia,Australia,L186,S39,active,1465417,0.66,0.53,True,2026-02-07 18:10:34.803165,Brandi,Yoder,True,0,0.81,7,False,2024-02-08 13:21:13.049922,2025-10-17 03:50:07.715225,3,0,0.7966666666666667
